,Group,Label,Sodium Citrate (wt%),PEO 8 kg/mol (wt%),Phase_Separation_1st,Phase_Separation_2nd
0,A,E2,2.3734801323935453,29.69113889317625,0,0
1,A,E3,2.308596012,19.985769835360305,0,0
2,A,E4,2.3726026477842845,9.854187291306609,0,0
3,A,E5,4.932783175828565,35.06721682417143,1,1
4,A,E6,5.012942902837546,10.236269805938896,0,0
5,A,E7,7.494500041353073,24.965346125217106,1,1
6,A,E8,7.406083474001257,30.084400754642044,1,1
7,A,E9,7.674131428762139,4.700463905,0,0
8,A,E10,10.103698811096434,19.887714663143992,1,1
9,A,E11,9.950719624,30.04928037596684,1,1
10,A,E12,10.213265374555696,2.3801220575414126,0,0
11,A,F1,12.274739120602202,10.274932962879202,1,1
12,A,F3,12.73781549541021,19.62774500025358,1,1
13,A,F4,14.961766925929574,9.876275803222736,1,1
14,A,F5,15.346519602047193,19.53482087056399,1,1
15,A,F2,20.11679024,9.986877501,1,1
16,A,F6,20.033699226226503,19.966300773773494,1,1
17,B,D2,2.5309876049580167,34.94002399040384,1,1
18,B,D1,2.533076858743832,37.03604583089404,1,1
19,B,F1,4.918882531134299,29.90912151,1,1
20,B,A3,5.049249886346416,20.57348756545605,0,1
21,B,D4,5.135108318174302,24.92806350256326,1,1
22,B,D5,5.180779255496892,22.303682416627677,1,1
23,B,B6,7.246757511081923,12.245608274503365,0,0
24,B,B5,7.398102454181413,11.200505126032267,0,0
25,B,F2,7.468094003512587,14.77427448356611,1,1
26,B,A4,7.679688679403523,16.59459550128319,1,1
27,B,D7,7.700477605958385,19.213787114658825,1,1
28,B,D12,9.804337538145203,12.11116369392451,1,1
29,B,A7,9.865017795345327,12.344885273326664,1,1
30,B,B8,9.891342098734805,8.054246258,1,1
31,B,A8,9.894325110523114,11.459562509244499,1,1
32,B,A5,9.979039857806397,14.780756912654896,1,1
33,B,B9,9.993780781,9.968903904661053,1,1
34,B,E2,10.019688323822871,5.231754930423467,0,0
35,B,A9,10.060618306728633,7.670909948137669,1,1
36,B,A10,10.107457736110876,4.813429679,0,0
37,B,F3,10.277668339642679,7.0491101252162585,1,1
38,B,A6,10.357190457150471,12.791550046648007,1,1
39,B,E4,12.377494253639364,5.2420133915187055,1,1
40,B,A11,12.454726334603583,6.936229049337335,1,1
41,B,B1,12.473667411426748,3.0695314731130408,1,1
42,B,B3,12.723868638993373,0.901378042,0,0
43,B,B2,12.779514063917732,3.656282555365124,1,1
44,B,E7,15.084114635281601,1.1018019815147284,1,1
45,B,B4,15.12884842,0.8746074733746491,1,1
46,B,E10,19.98453260493969,0.5713063366955721,1,1
47,B,E9,20.01746206941996,1.0312505148015747,1,1