Dextran 10 kg/mol (wt%),PEO 10 kg/mol (wt%),Phase_Separation
4.80744,9.24371,1
4.67427,8.98766,0
4.18841,8.05345,0
8.8805,7.05172,1
8.7075,6.91435,0
8.06737,6.40604,0
12.35948,7.55107,1
12.14665,7.42105,1
11.93381,7.29101,1
11.51343,7.03418,1
11.12147,6.79471,1
10.75532,6.57101,1
10.41252,6.36157,1
10.09042,6.16478,0
1.06521,13.06932,1
1.04389,12.80775,1
1.02357,12.55852,1
1.00481,12.32826,0
7.27859,8.47624,1
7.1183,8.28957,1
6.96492,8.11096,1
6.81726,7.939,0
6.6753,7.77368,0
6.53858,7.61446,0
6.40761,7.46194,0
6.28178,7.31541,0
6.15921,7.17267,0
6.0431,7.03745,0
5.93117,6.9071,0
5.82276,6.78086,0
5.61456,6.53841,0
5.42521,6.31789,0
5.2491,6.11281,0
3.02201,10.86042,1
2.98023,10.71027,1
2.93985,10.56515,1
2.90063,10.42421,0
2.82422,10.14961,0
2.75014,9.8834,0
2.67986,9.6308,0
2.61259,9.38907,0
2.54856,9.15895,0